hash	stored	verdict	expected_current	expected_newdef	note
3db8cfc4	personal_terms	edge	personal_terms|other	규칙충돌	무산 · 마지막 단계 vs 재계약 충돌
# --- official (6 전건) ---
7782fd9e	official	ok	official	official	트로사르 확정 (같은 딜 2회 게시 사례)
5267e88b	official	ok	official	official	트로사르 합의 (같은 딜 2회 게시 사례)
928acb73	official	ok	official	official
41820c3a	official	ok	official	official
3bf6dd47	official	ok	official	official
29f891a9	official	ok	official	official
# --- agreed (20 · RAND(42)) ---
7a24f142	agreed	ok	agreed	agreed	타구단 합의 · dir none ok
226b930f	agreed	ok	agreed	agreed	복합 · 주 이적 기마랑이스 합의
9e4a5c91	agreed	ok	agreed	agreed	합의 명시
bfbda517	agreed	ok	agreed	agreed	합의 + 메디컬 앞둠
00f5138a	agreed	ok	agreed	negotiating	임박 (현행 정의 포함 · 새 정의 이동)
50c684c4	agreed	ok	agreed	negotiating	눈앞 · 예정
94a50dd2	agreed	ok	agreed	negotiating	합의 다가서는 중
0c68996c	agreed	ok	agreed	negotiating|agreed	마무리 절차
b05efdc8	agreed	ok	agreed	agreed	합의 도달
c786fb9f	agreed	edge	agreed|negotiating	negotiating	협상 진전 · 근접
43e9488e	agreed	ok	agreed	done	계약 체결 완료 보도
b89687bb	agreed	ok	agreed	negotiating	눈앞
9b41c88b	agreed	ok	agreed	agreed	합의 + 메디컬 예정
a418e338	agreed	edge	agreed|other	done|other	펀딧 평가 얹은 후속
f5fa1f99	agreed	ok	agreed	negotiating	임박
ad4e18de	agreed	edge	agreed|negotiating	negotiating	근접 · 지불 전망
aeb2d493	agreed	ok	agreed	agreed	주 이적 만잠비 (타구단) · dir in 저장 = none 기대 (방향 오류)
e231fbf6	agreed	miss	interest|rumour	interest	가능성 시사 발언
c0843529	agreed	edge	agreed|other	무산	비니 잔류 임박 · 무산 계열
ee28de6e	agreed	ok	agreed	done	타구단 완료 (클럽 레코드 영입)
# --- 방향 out 축 전건 검토 (50건) ---
# 오류 확정 5: 6aa79a9d (레알-비니 재계약 제안 → none) · 9356f857 · f057ba44 (전 아스날 토미야스 FA → none) · 4a8397d1 (첼시-로저스 → none) · 745f1094 (레스터-몽가 하이재킹 → none)
# 경계 1: dc2de396 (알바레스 in + 요케레스 out 혼합 → 혼합 out 규칙 수용) · in 축 오류 1: aeb2d493 (타구단 → none 기대)
# 확인 완료: ce42d34d 는 본문상 out 정당 (제목 "영입 가능성" 은 오역 · 실제는 내줄 의사)
# --- 불변량 확인 ---
# bbc_gossip 이면서 stage != rumour = 0건 (가십 규칙 유지 확인) · official 소스 불변량 유지
